City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Bilma,NE,2022-04-11 00:29:48,18.6853,12.9164,83.89,7,0,4.0,clear sky
209,Zuenoula,CI,2022-04-11 00:29:49,7.4292,-6.0431,79.09,74,32,3.22,scattered clouds
210,Narsaq,GL,2022-04-11 00:29:49,60.9167,-46.05,32.22,58,100,2.35,overcast clouds
211,Sao Felix Do Xingu,BR,2022-04-11 00:27:05,-6.6447,-51.995,72.99,97,81,1.68,broken clouds
212,Tutoia,BR,2022-04-11 00:29:49,-2.7619,-42.2744,76.06,90,97,4.88,overcast clouds
213,Yining,CN,2022-04-11 00:29:50,29.0361,114.5636,73.83,61,1,1.63,clear sky
214,Sharjah,AE,2022-04-11 00:25:07,25.3573,55.4033,76.98,33,0,6.91,clear sky
215,Gambela,ET,2022-04-11 00:29:51,8.25,34.5833,80.83,56,85,2.44,light rain
216,Aksarka,RU,2022-04-11 00:27:49,66.5606,67.7975,33.66,99,100,10.6,overcast clouds
217,Korla,CN,2022-04-11 00:26:30,41.7597,86.1469,53.76,51,28,10.87,scattered clouds
218,Kruisfontein,ZA,2022-04-11 00:29:51,-34.0033,24.7314,63.88,93,72,4.0,broken clouds
219,Ljubinje,BA,2022-04-11 00:29:51,42.9508,18.0886,45.23,75,3,7.09,clear sky
220,Pakaur,IN,2022-04-11 00:29:52,24.6333,87.85,75.87,79,0,5.32,clear sky
221,Ugoofaaru,MV,2022-04-11 00:29:52,5.6667,73.0,84.2,72,47,11.54,scattered clouds
222,Iranshahr,IR,2022-04-11 00:29:52,27.2025,60.6848,73.74,18,0,0.0,clear sky
223,Nordhausen,DE,2022-04-11 00:29:53,51.5167,10.8,36.16,90,17,2.95,few clouds
224,Tombouctou,ML,2022-04-11 00:29:53,20.0,-3.0,78.55,6,0,8.59,clear sky
225,Saint Anthony,US,2022-04-11 00:29:53,45.0205,-93.218,58.96,41,100,16.11,overcast clouds
226,Destin,US,2022-04-11 00:29:54,30.3935,-86.4958,68.97,58,0,11.5,clear sky
227,Chapais,CA,2022-04-11 00:29:54,49.7834,-74.8492,33.58,94,100,7.23,overcast clouds
228,Birao,CF,2022-04-11 00:29:54,10.2849,22.7882,81.32,51,82,6.49,broken clouds
229,Itapora,BR,2022-04-11 00:29:54,-22.0799,-54.7874,75.22,81,64,5.19,broken clouds
230,Hun,LY,2022-04-11 00:29:55,29.1268,15.9477,60.91,29,0,5.93,clear sky
231,Massaguet,TD,2022-04-11 00:29:55,12.4755,15.4365,88.77,18,88,5.79,overcast clouds
232,Ponta Do Sol,PT,2022-04-11 00:30:55,32.6667,-17.1,62.71,74,22,15.99,few clouds
233,Coihueco,CL,2022-04-11 00:30:56,-36.6167,-71.8333,44.01,88,94,3.06,overcast clouds
234,Kashan,IR,2022-04-11 00:30:56,33.9831,51.4364,64.13,25,21,2.39,few clouds
235,Kerman,IR,2022-04-11 00:30:10,30.2832,57.0788,57.06,24,0,0.0,clear sky
236,Malinovskiy,RU,2022-04-11 00:30:56,61.1953,62.8397,33.26,98,69,7.96,broken clouds
237,Aras,ES,2022-04-11 00:30:57,42.5617,-2.356,52.23,76,100,20.71,overcast clouds
238,Quatre Cocos,MU,2022-04-11 00:30:57,-20.2078,57.7625,77.11,74,85,17.67,overcast clouds
239,Calderitas,MX,2022-04-11 00:30:57,18.55,-88.25,80.71,61,40,10.36,scattered clouds
240,Waddan,LY,2022-04-11 00:30:58,29.1614,16.139,59.34,34,0,6.85,clear sky
241,Quartucciu,IT,2022-04-11 00:30:58,39.2519,9.1794,51.01,68,0,3.44,clear sky
