City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
602,Corrente,BR,72.39,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
604,Razole,IN,78.57,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
608,Yabassi,CM,74.59,moderate rain,4.457,9.9682,MOTEL FOMI
611,Carutapera,BR,75.67,light rain,-1.195,-46.02,Lidera
613,Obidos,BR,74.62,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
614,Mocuba,MZ,68.47,scattered clouds,-16.8392,36.9856,Phama Lodge
616,Peruibe,BR,70.52,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
622,Puerto Ayacucho,VE,79.39,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
624,Paita,PE,71.44,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
633,Noamundi,IN,79.54,few clouds,22.15,85.5333,Mosabani Mines
635,Jardim,BR,79.21,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
636,Altamira,BR,73.2,overcast clouds,-3.2033,-52.2064,Requinte Hotel
638,Parnaiba,BR,74.89,overcast clouds,-2.9047,-41.7767,Hotel Delta
639,Pimentel,PE,68.81,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
640,Ampanihy,MG,70.99,broken clouds,-24.7,44.75,Angora Hotel
642,Panaba,MX,75.74,scattered clouds,21.2833,-88.2667,Hotel California
644,Maragogi,BR,78.03,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
645,Abnub,EG,71.82,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
648,Iralaya,HN,77.85,scattered clouds,15.0,-83.2333,Iglesia morava renovada
660,Wamba,NG,77.61,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
661,Bunda,TZ,65.98,broken clouds,-2.05,33.8667,Tembea Mara at Balili Village
662,Ilhabela,BR,73.51,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
665,Rosario,AR,67.95,thunderstorm with rain,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
668,Parati,BR,71.31,scattered clouds,-23.2178,-44.7131,Che Lagarto Paraty
669,Teofilo Otoni,BR,70.7,overcast clouds,-17.8575,-41.5053,Hotel Nobre Palace
671,Kikwit,CD,72.68,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
674,Corbelia,BR,76.35,overcast clouds,-24.7989,-53.3067,Hotel Peroza
677,Dingle,PH,72.21,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
685,Ormond Beach,US,65.01,clear sky,29.2858,-81.0559,Makai Beach Lodge
686,Soubre,CI,75.24,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
689,Maceio,BR,74.64,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
690,Srivardhan,IN,78.06,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
691,Kinshasa,CD,73.76,light rain,-4.3246,15.3215,Star Hotel II
692,Salinopolis,BR,77.13,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
701,Borba,BR,71.49,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
703,Riacho De Santana,BR,76.08,few clouds,-13.6092,-42.9389,Casa Nogueira
706,Yurimaguas,PE,73.6,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
708,Tocopilla,CL,65.48,few clouds,-22.092,-70.1979,Hotel Galvarino
709,Puerto Leguizamo,CO,70.65,overcast clouds,-0.1934,-74.7819,la casona de juancho
710,Fort Wellington,GY,77.58,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
713,Goiana,BR,79.32,few clouds,-7.5606,-35.0025,Goyanna Hotel
716,Bogo,PH,73.53,extreme rain,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
717,The Valley,AI,78.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
718,Sao Gabriel Da Cachoeira,BR,73.76,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
719,Tikapur,NP,76.1,clear sky,28.5,81.1333,BANANA AGRO RESORT
722,Sakaraha,MG,69.82,few clouds,-22.9,44.5333,Le Relais
