City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Palmer,US,2022-04-10 18:02:24,42.1584,-72.3287,48.61,48,75,14.97
262,Luena,AO,2022-04-10 18:03:54,-11.7833,19.9167,62.08,98,100,3.91
263,Te Anau,NZ,2022-04-10 18:03:54,-45.4167,167.7167,48.29,82,11,7.25
264,Noumea,NC,2022-04-10 18:03:54,-22.2763,166.4572,79.0,99,98,11.88
265,Beyneu,KZ,2022-04-10 18:03:54,45.3167,55.2,60.1,52,21,7.94
266,Aquiraz,BR,2022-04-10 18:03:55,-3.9014,-38.3911,79.18,80,91,6.29
267,Ahipara,NZ,2022-04-10 18:03:55,-35.1667,173.1667,58.33,84,33,6.08
268,Nelson Bay,AU,2022-04-10 18:03:55,-32.7167,152.15,63.0,96,9,6.02
269,Harper,LR,2022-04-10 18:03:56,4.375,-7.7169,83.5,76,50,10.25
270,Takoradi,GH,2022-04-10 18:03:56,4.8845,-1.7554,83.26,77,67,9.33
271,High Level,CA,2022-04-10 18:03:56,58.5169,-117.136,24.98,81,90,12.66
272,Banda Aceh,ID,2022-04-10 18:03:57,5.5577,95.3222,80.44,80,76,1.63
273,Half Moon Bay,US,2022-04-10 18:03:57,37.4636,-122.4286,69.58,38,40,21.85
274,Nome,US,2022-04-10 18:03:57,64.5011,-165.4064,28.47,93,100,4.61
275,Bad Goisern,AT,2022-04-10 18:03:58,47.6425,13.6161,39.65,100,100,2.13
276,Koupela,BF,2022-04-10 18:03:58,12.1794,-0.3517,101.39,18,72,1.79
277,Bokoro,TD,2022-04-10 18:03:58,12.3807,17.0568,96.08,22,100,5.73
278,Svetlogorsk,BY,2022-04-10 18:03:58,52.6333,29.7333,43.45,64,100,5.3
279,Bonthe,SL,2022-04-10 18:03:59,7.5264,-12.505,83.03,74,93,11.25
280,Shimoda,JP,2022-04-10 18:03:59,34.6667,138.95,60.1,83,93,7.92
281,Along,IN,2022-04-10 18:03:59,28.1667,94.7667,66.43,97,98,3.22
282,Ipameri,BR,2022-04-10 18:04:00,-17.7219,-48.1597,84.72,55,46,2.82
283,Birin,NP,2022-04-10 18:04:00,26.8865,88.0718,59.09,74,60,5.59
284,Baculin,PH,2022-04-10 18:04:00,7.4525,126.5842,78.48,81,98,4.41
285,Kibara,TZ,2022-04-10 18:04:01,-2.15,33.45,76.8,62,87,4.34
286,Dhidhdhoo,MV,2022-04-10 18:04:01,6.8833,73.1,85.28,70,56,11.16
287,Puerto Escondido,MX,2022-04-10 18:04:01,15.85,-97.0667,88.63,66,0,8.05
288,Padang,ID,2022-04-10 18:04:01,-0.9492,100.3543,78.85,87,97,2.44
289,Graham,US,2022-04-10 18:00:04,47.0529,-122.2943,41.99,90,75,12.66
290,Griffith,US,2022-04-10 18:04:02,41.5284,-87.4237,59.31,44,0,23.02
291,Namibe,AO,2022-04-10 18:04:03,-15.1961,12.1522,71.73,80,33,6.76
